hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,261,2017,August,35,30,1,4,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,99,0,0,Check-Out,09-04-2017
City Hotel,0,207,2017,August,34,25,3,7,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,96.25,0,2,Check-Out,09-04-2017
City Hotel,0,201,2017,August,35,30,1,4,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,108,0,2,Check-Out,09-04-2017
City Hotel,0,175,2017,August,35,31,1,3,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42,NULL,0,Transient,86.85,0,2,Check-Out,09-04-2017
City Hotel,0,175,2017,August,35,31,1,3,1,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,82.35,0,1,Check-Out,09-04-2017
City Hotel,0,175,2017,August,35,31,1,3,1,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,82.35,0,1,Check-Out,09-04-2017
City Hotel,0,201,2017,August,35,29,1,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,117,0,2,Check-Out,09-04-2017
City Hotel,0,200,2017,August,35,30,1,4,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,NULL,0,Transient,85.5,0,1,Check-Out,09-04-2017
City Hotel,0,165,2017,August,35,29,1,5,3,0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,209.25,0,3,Check-Out,09-04-2017
City Hotel,0,185,2017,August,35,30,1,4,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,1,Check-Out,09-04-2017
City Hotel,0,247,2017,August,35,31,1,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,86.85,0,0,Check-Out,09-04-2017
City Hotel,0,109,2017,August,35,31,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,09-04-2017
City Hotel,0,44,2017,August,35,31,1,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140.75,0,1,Check-Out,09-04-2017
City Hotel,0,188,2017,August,35,31,2,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,99,0,0,Check-Out,09-05-2017
City Hotel,0,135,2017,August,35,30,2,4,3,0,0,BB,JPN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,NULL,0,Transient,209,0,0,Check-Out,09-05-2017
City Hotel,0,164,2017,August,35,31,2,4,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,87.6,0,0,Check-Out,09-06-2017
City Hotel,0,21,2017,August,35,30,2,5,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394,NULL,0,Transient,96.14,0,2,Check-Out,09-06-2017
City Hotel,0,23,2017,August,35,30,2,5,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394,NULL,0,Transient,96.14,0,0,Check-Out,09-06-2017
City Hotel,0,102,2017,August,35,31,2,5,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,225.43,0,2,Check-Out,09-07-2017
City Hotel,0,34,2017,August,35,31,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,157.71,0,4,Check-Out,09-07-2017
City Hotel,0,109,2017,August,35,31,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89,NULL,0,Transient,104.4,0,0,Check-Out,09-07-2017
City Hotel,0,205,2017,August,35,29,2,7,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,151.2,0,2,Check-Out,09-07-2017
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,1,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,495,NULL,0,Transient,42,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,1,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,495,NULL,0,Transient,42,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495,NULL,0,Transient,65,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,103,2017,March,13,27,1,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495,NULL,0,Transient,73,0,0,Canceled,12/23/2016
Resort Hotel,1,6,2017,March,13,27,1,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,135,0,Transient,35,0,0,Canceled,3/27/2017
Resort Hotel,1,34,2017,March,13,27,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,68,0,0,Canceled,2/21/2017
Resort Hotel,1,21,2017,March,13,27,1,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,77.5,0,2,Canceled,03-11-2017
Resort Hotel,1,136,2017,March,13,27,1,5,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,45,0,2,Canceled,01-05-2017
Resort Hotel,1,176,2017,March,13,27,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,43.03,0,0,Canceled,10-02-2016
Resort Hotel,1,0,2017,March,13,28,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,65,0,0,Canceled,3/28/2017
Resort Hotel,1,54,2017,March,13,28,0,2,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,92,0,0,Canceled,3/13/2017
Resort Hotel,1,26,2017,March,13,28,0,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,436,NULL,0,Transient,30,0,0,No-Show,3/28/2017
Resort Hotel,1,180,2017,March,13,28,0,4,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,3,No Deposit,240,NULL,0,Transient,55.8,0,1,Canceled,10-03-2016
Resort Hotel,1,125,2017,March,13,28,0,4,1,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,37,0,1,Canceled,1/20/2017
Resort Hotel,1,63,2017,March,13,28,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,49.71,0,0,Canceled,3/17/2017
Resort Hotel,1,192,2017,March,13,28,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,47.14,0,0,Canceled,9/23/2016
Resort Hotel,1,60,2017,March,13,28,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,95,NULL,0,Transient,37.95,0,0,Canceled,2/14/2017
Resort Hotel,1,40,2017,March,13,28,2,6,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,65,0,0,Canceled,2/18/2017
Resort Hotel,1,188,2017,March,13,28,4,11,1,0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,74.28,0,0,No-Show,3/28/2017
Resort Hotel,1,118,2017,March,13,29,0,1,2,0,0,HB,CHN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,NULL,0,Transient,78,0,0,Canceled,3/22/2017
Resort Hotel,1,0,2017,March,13,29,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,8,0,0,Canceled,3/29/2017
Resort Hotel,1,72,2017,March,13,29,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,78,0,0,Canceled,1/17/2017
Resort Hotel,1,40,2017,March,13,29,0,1,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,NULL,0,Transient,55,0,0,Canceled,2/24/2017
Resort Hotel,1,25,2017,March,13,29,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,65,0,2,Canceled,3/22/2017
Resort Hotel,1,113,2017,March,13,29,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,37.5,0,0,Canceled,12-07-2016
Resort Hotel,1,175,2017,March,13,29,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,41.85,0,1,Canceled,10-07-2016
Resort Hotel,1,50,2017,March,13,29,2,4,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,60,0,1,Canceled,2/23/2017
Resort Hotel,1,66,2017,March,13,30,0,3,2,0,0,BB,POL,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,80.07,0,0,Canceled,03-08-2017
Resort Hotel,1,9,2017,March,13,30,0,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,56,0,1,No-Show,3/30/2017
Resort Hotel,1,47,2017,March,13,30,0,3,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,70.33,0,1,Canceled,2/27/2017
Resort Hotel,1,156,2017,March,13,30,0,3,2,0,0,BB,CN,Direct,Direct,0,0,0,D,D,2,No Deposit,250,NULL,0,Transient,53.7,0,0,Canceled,1/17/2017
Resort Hotel,1,30,2017,March,13,30,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,65,0,2,Canceled,03-07-2017
Resort Hotel,1,34,2017,March,13,30,2,5,2,2,0,HB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,146.57,0,2,Canceled,2/26/2017
Resort Hotel,1,47,2017,March,13,30,2,5,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,60,0,1,Canceled,2/26/2017
Resort Hotel,1,15,2017,March,13,30,2,6,1,0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,90,0,0,Canceled,3/17/2017
Resort Hotel,1,15,2017,March,13,30,2,6,1,0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,90,0,0,Canceled,3/17/2017
Resort Hotel,1,0,2017,March,13,31,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,521,0,Transient,65,0,0,Canceled,3/31/2017
Resort Hotel,1,19,2017,March,13,31,0,2,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,95,0,1,Canceled,3/22/2017
Resort Hotel,1,57,2017,March,13,31,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,60,0,0,Canceled,02-02-2017
Resort Hotel,1,27,2017,March,13,31,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,70,0,1,Canceled,03-08-2017
Resort Hotel,1,23,2017,March,13,31,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,70,0,0,Canceled,03-08-2017
Resort Hotel,1,24,2017,March,13,31,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,70,0,1,Canceled,3/19/2017
Resort Hotel,1,64,2017,March,13,31,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,2,Canceled,02-01-2017
Resort Hotel,1,27,2017,March,13,31,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,72.5,0,1,Canceled,3/19/2017
City Hotel,1,88,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,76.5,0,1,Canceled,07-01-2015
City Hotel,1,65,2015,July,27,1,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,68,0,1,Canceled,4/30/2015
City Hotel,1,92,2015,July,27,1,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,76.5,0,2,Canceled,6/23/2015
City Hotel,1,100,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,76.5,0,1,Canceled,04-02-2015
City Hotel,1,79,2015,July,27,2,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,76.5,0,1,Canceled,6/25/2015
City Hotel,0,3,2015,July,27,2,0,3,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient-Party,58.67,0,0,Check-Out,07-05-2015
City Hotel,1,63,2015,July,27,2,1,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,68,0,0,Canceled,6/25/2015
City Hotel,1,62,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,76.5,0,1,No-Show,07-02-2015
City Hotel,1,62,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,76.5,0,1,No-Show,07-02-2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient-Party,43,0,0,Check-Out,07-05-2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,0,4,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,63,0,0,Check-Out,07-05-2015
City Hotel,1,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Canceled,6/29/2015
City Hotel,0,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient-Party,63,0,0,Check-Out,07-05-2015
City Hotel,1,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,63,0,0,Canceled,6/16/2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,1,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,63,0,0,Canceled,6/29/2015
City Hotel,1,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Canceled,6/16/2015
City Hotel,1,97,2015,July,27,3,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13,NULL,0,Transient,63.75,0,1,Canceled,6/30/2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,07-05-2015
City Hotel,1,80,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,76.5,0,1,Canceled,4/17/2015
City Hotel,0,60,2015,July,27,3,2,5,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,NULL,0,Transient,60.27,0,0,Check-Out,07-10-2015
City Hotel,1,106,2015,July,27,4,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,68,0,0,Canceled,06-01-2015
City Hotel,1,68,2015,July,27,4,2,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,68,0,0,Canceled,6/23/2015
City Hotel,1,92,2015,July,27,4,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,76.5,0,1,Canceled,6/15/2015
City Hotel,0,18,2015,July,27,4,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,60,0,0,Check-Out,07-08-2015
City Hotel,1,71,2015,July,28,5,2,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,NULL,0,Transient,55.8,0,0,Canceled,6/30/2015
City Hotel,1,85,2015,July,28,5,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,52.36,0,0,Canceled,6/20/2015
City Hotel,1,92,2015,July,28,5,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,49.74,0,0,Canceled,07-03-2015
Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,85.86,0,0,Check-Out,07-11-2015
Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,58.95,0,0,Check-Out,07-12-2015
Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,0,0,Canceled,5/19/2015
Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,0,0,Check-Out,7/13/2015
Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,NULL,0,Transient,124,0,1,Canceled,06-09-2015
Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,NULL,0,Contract,111.15,0,0,Check-Out,7/13/2015
